Law,Description,Fine Level,Fine Amount,Demerit Points
Cross level crossing when tram/train on/entering crossing
1
$78
Rule 235 (2)(d)
Cross level crossing when approaching tram/train seen/heard
1
$78
Rule 235 (2)(e)
Cross level crossing when crossing/road beyond blocked
1
$78
Rule 235 (2A)(a)
Not finish crossing without delay if warning lights/bells start
1
$78
Rule 235 (2A)(b)
Not finish crossing without delay if gate/boom starts to close
1
$78
Rule 235 (2A)(c)
Not finish crossing without delay if train or tram approaches
1
$78
Rule 235A (2)
Cross if a pedestrian level crossing has red pedestrian light
1
$78
Rule 235A (3)
Not finish crossing without delay if red pedestrian light appears
1
$78
Rule 236 (1)
Pedestrian move into driver's path
1
$78
Rule 236 (2)
Pedestrian obstruct driver's/other pedestrian's path
1
$78
Rule 236 (4)(a)
Stand on/move onto road to solicit contributions etc from occupant of vehicle
1
$78
Rule 236 (4)(b)
Stand on/move onto road to hitchhike
1
$78
Rule 236 (4)(c)
Stand on/move onto road to display an advertisement
1
$78
Rule 236 (4)(d)
Stand on/move onto road to sell or offer articles for sale
1
$78
Rule 236 (4)(e)
Stand on/move onto road to wash/clean/offer to wash/clean windscreen of vehicle 
1
$78
Rule 236 (5)
Driver/passenger in/on vehicle buy/offer to buy article/service from person on road
1
$78
Rule 237 (1)
Get on/into moving vehicle
1
$78
Rule 238 (1)
Pedestrian not travel on footpath/nature strip
1
$78
Rule 238 (2)(a)
Pedestrian not keep to side of road
1
$78
Rule 238 (2)(ab)
Pedestrian travel on road not face approaching traffic
1
$78
Rule 238 (2)(b)
Travel on road beside more than 1 other pedestrian/vehicle
1
$78
Rule 239 (1)
Pedestrian on bicycle path/separated footpath
1
$78
Rule 239 (3)
Not keep out of path of bicycle/pedestrian
1
$78
WHEELED DEVICES/TOYS
Rule 240 (1)
Use wheeled device (dividing line/median strip)
1
$78
Rule 240 (1)
Use wheeled device (multi-lane one-way road)
1
$78
Rule 240 (1)
Use wheeled toy (dividing line/median strip)
1
$78
Rule 240 (1)
Use wheeled toy (multi-lane one-way road)
1
$78
Rule 240 (1)
Use wheeled device (speed limit greater than 50 km/h)
1
$78
Rule 240 (1)
Use wheeled toy (speed limit greater than 50 km/h)
1
$78
Rule 240 (2)(a)
Use wheeled device on prohibited road
1
$78
Rule 240 (2)(b)
Use wheeled device on road at prohibited time
1
$78
Rule 240 (2)(c) 
Use propelled wheeled recreational device on road
1
$78
Rule 240 (3)(a)
Use wheeled toy on prohibited road
1
$78
Rule 240 (3)(b)
Use wheeled toy on road at prohibited time
1
$78
Rule 240A
Disobey no wheeled recreational devices/toys sign 
1
$78
Rule 241 (1)(a)
Not keep left when using wheeled device/toy
1
$78
Rule 241 (1)(b)
Travel alongside more than 1 (wheeled device/toy)
1
$78
Rule 242 (1)(a)
Not keep left of shared/path (wheeled device/toy)
1
$78
Rule 242 (1)(b)
Not give way on shared/path (wheeled device/toy)
1
$78
Rule 243 (1)
Use wheeled device on pedestrian separated path
1
$78
Rule 243 (2)
Obstruct bicycle on separated/path (wheeled device)
1
$78
Rule 244 (1)
Use wheeled recreational device/toy being towed
1
$78
Rule 244 (2)
Hold onto moving vehicle (wheeled device/toy)
1
$78
Rule 244 (3)
Use wheeled recreational device/toy within 2m of vehicle
1
$78
BICYCLES
Rule 119
Bicycle rider on left of roundabout not give way to vehicle
2
$116
Rule 141 (2)
Cyclist pass/overtake left of left turning vehicle
2
$116
Rule 151 (1)
Ride bicycle more than 2 abreast on road
2
$116
Rule 151 (2)
Ride bicycle more than 2 abreast in marked lane
2
$116
Rule 151 (4)
Ride bicycle more than 1.5m from another
2
$116
Rule 245 (a)
Not sit astride bicycle rider's seat
2
$116
Rule 245 (b)
Not ride bicycle with hand on bars
2
$116
Rule 245 (c)
Ride bicycle in incorrect position
2
$116
Rule 245-1 (1)(a)
Ride bicycle negligently
6
$464
Rule 245-1 (1)(b)
Ride bicycle furiously
6
$464
Rule 245-1 (1)(c)
Ride bicycle recklessly
6
$464
Rule 246 (1)
Carry more persons on bicycle than permitted
2
$116
Rule 246 (2)
Passenger on bicycle not sit on passenger seat
2
$116
Rule 246 (3)
Ride bicycle with passenger not seated on passenger seat
2
$116
Rule 247 (1)
Not ride in bicycle lane
2
$116
Rule 247A
Rider not enter bicycle storage area correctly
2
$116
Rule 247B (1)(a)
Enter bicycle storage area not give way to vehicle
2
$116
Rule 247B (1)(b)
Enter bicycle storage area not give way to vehicle (lights)
2
$116
Rule 247B (1)(c) 
Enter bicycle storage area not give way to vehicle (arrows)
2
$116
Rule 247B (2)
In bicycle storage area not give way to vehicle (multi-lane)
2
$116
Rule 248 (1)
Bicycle rider cross road on children's/pedestrian crossing
2
$116
Rule 248 (2)
Bicycle rider cross road on marked foot crossing
2
$116
Rule 249
Ride bicycle on pedestrian part of separated footpath
2
$116
Rule 250 (1)
Ride bicycle on footpath (16 yrs or older)
2
$116
Rule 250 (2)
Bicycle not keep left (shared/foot path)
2
$116
Rule 250 (2)(b)
Bicycle not give way (shared/foot path)
2
$116
Rule 251
Bicycle not ride to left of oncoming bicycle on path
2
$116
Rule 252 (1)
Disobey no bicycles sign/road marking
2
$116
Rule 253
Bicycle rider moving into path of driver/pedestrian
2
$116
Rule 254 (1)
Ride on bicycle that is being towed
5
$349
Rule 254 (2)
Hold onto moving vehicle while riding bicycle
5
$349
Rule 255
Ride bicycle too close to rear of motor vehicle
2
$116
Rule 256 (1)
Rider not wear bicycle helmet/fitted/fastened
5
$349
Rule 256 (2)
Passenger not wear bicycle helmet/fitted/fastened
5
$349
Rule 257 (1)
Tow bicycle trailer with person in/on trailer 
2
$116
Rule 258 (a)
Ride bicycle without working brake
2
$116
Rule 258 (b)
Ride bicycle without working warning device
2
$116
Page 6 of 12
 As at 1 July 2020
 The information in this document is intended as a guide only, and is subject to change at any time without notice.
 It does not replace the relevant legislation.
 * Increased fines and/or demerit points apply for these offences when committed in a school zone. See school zone offences list.
Fine level
Fine $
Demerit 
points
General driving offences
Double 
demerits
Penalty
Description
Law
Rule 259 (a)
Ride bicycle without visible front white light
2
$116
Rule 259 (b)
Ride bicycle without visible rear red light
2
$116
Rule 259 (c)
Ride bicycle without visible red reflector
2
$116
Rule 260 (1)
Proceed before allowed (red bicycle crossing light showing)
2
$116
Rule 261 (1)
Proceed before allowed (yellow bicycle crossing light showing)
2
$116
Rule 262 (1)
Not cross intersection safely (bicycle crossing lights)
2
$116
Rule 262 (2)
Not finish crossing road safely (bicycle crossing lights)
2
$116
SEAT BELTS
Rule 264
Driver not wearing seatbelt",5,349,3
Rule 265 (1),"Passenger occupy same seat as another (16 yrs or older)
5
$349
Rule 265 (1)
Passenger seatbelt not adjusted/fastened (16 yrs or older)
5
$349
Rule 265 (1)
Passenger not occupy seat with seatbelt (16 years or older)
5
$349
Rule 265 (3)
Drive with passenger 16 years or older unrestrained",5,349,3
Rule 265 (3),Drive with 2 unrestrained passengers,8,697,6
Rule 265 (3),Drive with 3 unrestrained passengers,10,"1,123",6
Rule 265 (3),Drive with 4 or more unrestrained passengers,12,"1,472",6
Rule 266 (1),Drive with passenger under 6 mths not in fastened/adjusted/approved restraint,5,349,3
Rule 266 (1),Drive with passenger older than 6 mths but less than 4 yrs not restrained,5,349,3
Rule 266 (1),Drive with passenger older than 4 yrs but less than 7 yrs not restrained,5,349,3
Rule 266 (1),Drive with passenger less than 4 yrs in front row of vehicle (two or more rows),5,349,3
Rule 266 (1),Drive with passenger 4 yrs or older but less than 7 yrs in front row of vehicle,5,349,3
Rule 266 (1),Drive with passenger 7 yrs or older but less than 16 yrs not restrained,5,349,3
Rule 267-1 (2)(a),Learner/P1/P2 driver passengers (16 years or older) not wear seatbelts,5,349,3
Rule 267-1 (2)(a),Learner/P1/P2 driver passengers (16 years or older) seatbelts not fitted,5,349,3
Rule 267-1 (2)(b),Learner/P1/P2 driver with passenger under 16 not restrained as age appropriate,5,349,3
Rule 267-1 (3),"Passenger (16 or older) in seat restraint not fitted
5
$349
Rule 267-1 (4)
Passenger (16 or older) not wear seat belt properly
5
$349
SAFETY
Rule 268 (1)
Travel in/on vehicle in part not for passengers/goods
5
$349
Rule 268 (2)
Travel in/on part of vehicle designed for carrying goods
5
$349
Rule 268 (2)(b) 
Ride in/on part of vehicle for goods wrong size no seatbelt
5
$349
Rule 268 (3)
Part of body outside vehicle window/door (driver)",5,349,3
Rule 268 (3),"Part of body outside vehicle window/door (passenger)
5
$349
Rule 268 (4)
Drive with part of passengers body outside window/door",5,349,3
Rule 268 (4A),Drive with passenger in/on part of vehicle not permitted,5,349,3
Rule 268 (4B)(a),Drive with passenger in/on part of vehicle not enclosed,5,349,3
Rule 268 (4B)(b),Drive with passenger in/on part of vehicle no seatbelt etc,5,349,3
Rule 268-2 (1),"Travel in/on boot of motor vehicle
5
$349
Rule 268-2 (2)
Driver drive motor vehicle with person/s in/on boot",5,349,3
Rule 268-3 (1),"Travel in unenclosed part of trailer
5
$349
Rule 269 (1)
Alight from moving vehicle
5
$349
Rule 269 (3)
Cause hazard to person/vehicle (door open/alighting)
5
$349
Rule 269 (4)
Drive moving bus with doors opened
5
$349
Rule 298
Tow trailer with person in/on trailer",5,349,3
Rule 270 (1)(a),Ride motorcycle with no helmet (rider alone),5,349,3
Rule 270 (1)(b),Ride motorcycle with one unhelmeted passenger,5,349,3
Rule 270 (1)(b),Ride motorcycle with 2 unhelmeted passengers,8,697,6
Rule 270 (1)(b),Ride motorcycle with 3 unhelmeted passengers,10,"1,123",6
Rule 270 (1)(b),Ride motorcycle with 4 or more unhelmeted passengers,12,"1,472",6
Rule 270 (1),Ride motorcycle with one unhelmeted passenger (rider not helmeted),8,697,6
Rule 270 (1),Ride motorcycle with 2 unhelmeted passengers (rider not helmeted),10,"1,123",9
Rule 270 (1),Ride motorcycle with 3 unhelmeted passengers (rider not helmeted),12,"1,472",9
Rule 270 (1),Ride motorcycle with 4 or more unhelmeted passengers (rider not helmeted),13,"1,819",9
Rule 270 (2),"Motorcycle passenger not wearing helmet
5
$349
Rule 271 (1)(a)
Not sit astride on motorcycle rider’s seat",5,349,3
Rule 271 (1)(b),"Not ride motorcycle with hand on handlebars
2
$116
Rule 271 (1)(c)
Ride motorcycle in incorrect position
2
$116
Rule 271 (2)(a)
Not sit astride pillion seat
5
$349
Rule 271 (2)(b)
Feet not on pillion footrests
2
$116
Rule 271 (2)(a)&(3)
Passenger not sit astride pillion seat (rider)
5
$349
Rule 271 (2)(b)&(3)
Passenger’s feet not on pillion footrests (rider)
2
$116
Rule 271 (4)
Ride motorcycle with more than 1 passenger",5,349,3
Rule 271 (5),Exceed number of passengers in motorcycle sidecar,5,349,3
Rule 271 (5A),Ride motor bike with passenger under 8 years not in sidecar,5,349,3
Rule 271 (5B),"Motor bike passenger in sidecar not safely seated
5
$349
Rule 271 (5C)
Rider carry passenger not safely seated in sidecar",5,349,3
Rule 271-1 (1),Carry passenger on motor bike (licensed for less than 12 months),5,349,3
Rule 271-2 (1),Drive car-based motor tricycle with under 16 year passenger,5,349,3
Rule 272 (a),"Passenger interfere with driver's control of vehicle
2
$116
Rule 272 (b)
Passenger obstruct driver's view
2
$116
T & B LIGHTS
Rule 274
Not stop on red T light",6,464,3
Rule 275,Not stop on yellow T light,6,464,3
Rule 277,Proceed before allowed after stop on red/yellow T Light,6,464,3
Rule 279 (2),Proceed before allowed after stop on white T light/arrow,6,464,3
Rule 279 (3),Not leave intersection safely (white T light/arrow),6,464,3
Rule 281,Not stop on red B light,6,464,3
Rule 282,Not stop on yellow B light,6,464,3
Rule 284,Proceed before allowed after stop on red/yellow B light,6,464,3
Rule 286 (2),Proceed before allowed after stop on white B light/arrow,6,464,3
Rule 286 (3),Not leave intersection safely (white B light/arrow),6,464,3
Rule 287 (1)&(2)(a),Not give particulars to other driver,5,349,3
Rule 287 (1)&(2)(b),Not give particulars to injured person,5,349,3
Rule 287 (1)&(2)(c),Not give particulars to owner of damaged property,5,349,3
Rule 287 (1)&(3),Not give particulars to police,5,349,3
Rule 288 (1),Drive on path*,5,349,3
Rule 288 (4),Driver not give way to user/animal on path*,5,349,3
Rule 289 (1),Drive on nature strip*,5,349,3
Rule 289 (2),Driver not give way to user/animal on nature strip*,5,349,3
Rule 290,Drive on traffic island*,5,349,3
Rule 291,Start/drive vehicle causing unnecessary noise/smoke,5,349,3
Rule 291-1 (1),"Not stop engine of stationary vehicle
3
$194
Rule 291-2
Driver not prevent waste oil/grease dropping on roadway
3
$194
Rule 292 (a)
Drive/tow vehicle with unsecured load",6,464,3
Rule 292 (b),Drive/tow vehicle with load causing instability,6,464,3
Rule 292 (c),Drive/tow vehicle with overhanging load,6,464,3
Rule 293 (2),Not remove/have removed any thing fallen/put on road,6,464,3
Rule 294 (1)(a)(i),Tow without control of towed vehicle,6,464,3
Rule 294 (1)(a)(ii),Towed vehicle not in order/with licensed person/in control,6,464,3
Rule 294 (1)(b),Tow vehicle when unsafe,6,464,3
Rule 294 (2)(a),Tow without control of trailer,6,464,3
Rule 294 (2)(b),Tow trailer when unsafe,6,464,3
Rule 294-1 (1)(a),Articulated vehicle tow other vehicle,6,464,3
Rule 294-1 (1)(b),Motor vehicle tow more than one vehicle,6,464,3
Rule 294-1 (1)(b),"Use/cause towed vehicle/trailer exceed maximum laden weight (non-driver)
6
$464
Rule 294-2 (1)(a)
Towed vehicle/trailer exceed towing capacity",6,464,3
Rule 294-2 (1)(b),Towed vehicle/trailer exceed maximum laden weight,6,464,3
Rule 294-3 (1)(a),"Not keep required distance (towing with towline)
2
$116
Rule 294-3 (1)(b)(i)
Not have licensed driver in control of towed vehicle
2
$116
Rule 294-3 (1)(b)(ii)
Tow vehicle without authorisation/not comply with authorisation
2
$116
Rule 294-3 (1)(c)
Not display hoisting capacity
2
$116
Rule 294-3 (1)(c)
Not have lift equipment approved by Authority
2
$116
Rule 294-3 (1)(c)
Not interconnect brakes with braking system of tow truck
2
$116
Rule 294-3 (1)(c)
Not release weight of towed vehicle from lifting device
2
$116
Rule 294-3 (1)(d)
Drive vehicle tow motor bike not as prescribed
2
$116
Rule 294-3 (1)(e)
Not display warning flag as required
2
$116
Rule 294-3 (1)(f)
Not have proper lighting on towed vehicle
2
$116
Rule 294-3 (1)(g)
Tow non-mechanical vehicle not fastened as prescribed
2
$116
REVERSING
Rule 296 (1)
Not reverse vehicle safely*",3,194,2
Rule 296 (2),"Reverse vehicle further than necessary
2
$116
VIEW & CONTROL
Rule 297 (1)
Drive without proper control of vehicle*",6,464,3
Rule 297 (2),Drive vehicle without clear view*,5,349,3
Rule 297 (3),Ride with animal between rider and handle bars*,6,464,3
Rule 297 (1A),Drive motor vehicle with person or animal in lap*,6,464,3
Rule 299 (1)(a),Drive vehicle with TV/VDU image visible to driver*,5,349,3
Rule 299 (1)(b),"Drive vehicle with TV/VDU image likely to distract another driver
5
$349
Rule 300
Drive using mobile phone when not permitted (not L, P1 or P2)*",5,349,5
Rule 300-1,Learner or Provisional driver use mobile phone while driving*,5,349,5
Rule 298-1,Driver consume alcohol while driving,5,349,3
Rule 300-2 (1),"Drive dangerous goods transporter in prohibited area
6
$464
Rule 300-4 (1)
Drive school bus without displaying signs
5
$349
Rule 300-5
Drive motor vehicle not carry licence
2
$116
Rule 316-2 (1)
Unlawfully display turning vehicle sign
3
$194
ANIMALS
Rule 301 (1)
Lead animal while driving vehicle
1
$78
Rule 301 (2)
Passenger lead animal while vehicle is moving
1
$78
Rule 301 (3)
Bicycle rider lead animal when not permitted
1
$78
Rule 302
Not give way when riding animal on footpath/nature strip
1
$78
Rule 303 (1)
Ride animal more than 2 abreast (not multi-lane road)
1
$78
Rule 303 (2)
Ride animal more than 2 abreast (marked lane)
1
$78
Rule 303 (4)
Ride animal more than 1.5m from another rider
1
$78
DIRECTIONS
Rule 304 (1)
Not obey direction of police/authorised person",5,349,3
Rule 316-2 (1),"Display do not overtake turning vehicle sign when less than 7 1/2 metres
3
$194
CLASS B or C VEHICLES IN SAFE-T-CAM OR AVERAGE SPEED DETECTION ZONES
Rule 127 (1)
Long vehicle not required distance from other long vehicle",11,"1,393",4
Rule 132 (1),Not keep left of centre on two-way road,11,"1,393",4
Rule 132 (2),Not keep left of dividing line,11,"1,393",4
Rule 146 (1),Not drive within marked lane multi-lane road,11,"1,393",4
Rule 146 (2),Not drive within single line of traffic (no lines marked),11,"1,393",4
Rule 147,Move from marked lane to another across continuous line,11,"1,393",4
Rule 150 (1),Drive on/over continuous white edge line,11,"1,393",4
Rule 215-1 (1),Drive during period of darkness without prescribed lights,11,"1,393",4
Rule 27 (1),"Not turn left from far left side of road
2
$116
Rule 28 (1)
Not turn left from multi-lane road from within left lane
2
$116
Rule 28 (1A)
Not turn left from slip lane from multi-lane road
2
$116
Rule 28 (2A)
Bike rider not enter from left marked lane-bike storage area
2
$116
Rule 29
Turn left contrary to road marking
2
$116
Rule 31 (4A)
Bike rider not enter intersection from left of/parallel to/as near to dividing line/strip
2
$116
RIGHT TURN AT INTERSECTIONS
Rule 31 (4A)
Bike rider not enter one-way road from far right
2
$116
Rule 31 (4A)
Bike rider not turn right from left of/parallel to/as near to dividing line/strip
2
$116
Rule 31
Not turn right from left of line/strip correctly
2
$116
Rule 31 
Not turn right from left of centre of road correctly
2
$116
Rule 31 
Not turn right from far right side of one-way road
2
$116
Rule 32 (1)
Not turn right from multi-lane road from within right lane
2
$116
Rule 32 (2A)
Not enter intersection from bike storage area - turning right
2
$116
Page 8 of 12
 As at 1 July 2020
 The information in this document is intended as a guide only, and is subject to change at any time without notice.
 It does not replace the relevant legislation.
 * Increased fines and/or demerit points apply for these offences when committed in a school zone. See school zone offences list.
Fine level
Fine $
Demerit 
points
General driving offences
Double 
demerits
Penalty
Description
Law
Rule 33 (1)&(2)
Turn right contrary to road marking
2
$116
Rule 33 (1)&(3)
Not turn right near to right of centre of intersection
2
$116
Rule 35 (2)
Bicycle rider not make hook turn as prescribed
2
$116
TRAFFIC CONTROL LIGHTS
Rule 56 (1)(a)
Not stop at stop line at red light
6
$464
Rule 56 (1)
Not stop at red light - toll booth
3
$194
Rule 56 (1)(b)
Not stop before stop sign at red light 
6
$464
Rule 56 (1)(c)
Not stop before lights at red light
6
$464
Rule 56 (2)(a)
Not stop at stop line at red arrow
6
$464
Rule 56 (2)(b)
Not stop before stop sign at red arrow 
6
$464
Rule 56 (2)(c)
Not stop before lights at red arrow
6
$464
Rule 59 (1)
Proceed through red traffic light - toll booth
3
$194
Rule 59 (1)
Proceed through red traffic light
6
$464
CROSSINGS & SHARED ZONES
Rule 80 (1)
Approach children’s crossing too quickly to stop safely
6
$464
Rule 80 (2)(a)
Disobey hand-held stop sign at children’s crossing
6
$464
Rule 80 (2)(b)
Not stop at children’s crossing-pedestrian on crossing
6
$464
Rule 80 (3)(a)
Proceed at children’s crossing while sign shown
6
$464
Rule 80 (3)(b)
Proceed at children’s crossing contrary to directions
6
$464
Rule 80 (4)
Proceed at children’s crossing-pedestrian at crossing
6
$464
Rule 81 (1)
Approach pedestrian crossing too quickly to stop safely
6
$464
Rule 81 (2)
Not give way to pedestrian on pedestrian crossing
6
$464
Rule 82
Pass/overtake vehicle at pedestrian/children’s crossing
6
$464
Rule 83
Not give way to pedestrian in shared zone
2
$116
TRAFFIC SIGNS & ROAD MARKINGS
Rule 88 (1)
Disobey left turn only sign
2
$116
Rule 88 (2)
Disobey left lane must turn left sign
2
$116
Rule 89 (1)
Disobey right turn only sign
2
$116
Rule 89 (2)
Disobey right lane must turn right sign
2
$116
Rule 90
Disobey no turns sign
2
$116
Rule 91 (1)
Disobey no left turn sign
2
$116
Rule 91 (2)
Disobey not right turn sign
2
$116
Rule 92 (1)
Drive contrary to direction of traffic lane arrow
2
$116
Rule 98 (1)
Disobey one-way sign
2
$116
Rule 99 (1)
Disobey keep left sign
2
$116
Rule 99 (2)
Disobey keep right sign
2
$116
Rule 100
Disobey no entry sign
2
$116
KEEPING LEFT
Rule 129 (1)
Not drive on far left side of road
2
$116
Rule 130 (1)(a)&(2) 
Drive in right lane on road with speed-limit over 80 km/h
2
$116
Rule 130 (1)(b)&(2)
Disobey keep left unless overtaking sign
2
$116
Rule 131
Not keep left of oncoming vehicle
2
$116
Rule 132 (1)
Not keep left of centre on two-way road
2
$116
Rule 132 (2)
Not keep left of dividing line
2
$116
Rule 135 (1)
Not keep left of median strip
2
$116
Rule 137 (1)
Drive on dividing strip
2
$116
Rule 138 (1)
Drive on/over continuous line near painted island
2
$116
Road Transport Act 2013
UNLICENSED DRIVER - INAPPROPRIATE CLASS OF LICENCE
Class C, Class R, Class LR or Class MR licence
Sec 53 (1)(a)
Unlicensed driver/rider (1st offence within last 5 years)
7
$581
Sec 53 (1)(a)
Unlicensed driver/rider (2nd or subsequent offence within last 5 years)
9
$890
Class HR, Class HC or Class MC licence
Sec 53 (1)(a)
Unlicensed driver/rider (1st offence within last 5 years)
8
$697
Sec 53 (1)(a)
Unlicensed driver/rider (2nd or subsequent offence within last 5 years)
11
$1,393
OTHER STATE OR TERRITORY LICENCE
Sec 53 (1)(a)
Unlicensed driver/rider (1st offence within last 5 years)
7
$581
Sec 53 (1)(a)
Unlicensed driver/rider (2nd or subsequent offence within last 5 years)
9
$890
EXPIRED LICENCE - LESS THAN 2 YEARS
Sec 53 (1)(a)
Unlicensed driver/rider (1st offence within last 5 years)
7
$581
Sec 53 (1)(a)
Unlicensed driver/rider (2nd or subsequent offence within last 5 years)
9
$890
EXPIRED LICENCE - MORE THAN 2 YEARS
Sec 53 (1)(a)
Unlicensed driver/rider (1st offence within last 5 years)
8
$697
Sec 53 (1)(a)
Unlicensed driver/rider (2nd or subsequent offence within last 5 years)
11
$1,393
NEVER HELD A LICENCE
Sec 53 (3)
Unlicensed driver/rider
9
$890
PERMIT UNLICENSED DRIVER INAPPROPRIATE CLASS OF LICENCE
Class C, Class R, Class LR or Class MR licence
Sec 53 (1)(b)
Permit unlicensed driver/rider (1st offence within last 5 years)
7
$581
Sec 53 (1)(b)
Permit unlicensed driver/rider (2nd or subsequent offence within last 5 years)
9
$890
Class HR, Class HC or Class MC licence
Sec 53 (1)(b)
Permit unlicensed driver/rider (1st offence within last 5 years)
8
$697
Sec 53 (1)(b)
Permit unlicensed driver/rider (2nd or subsequent offence within last 5 years)
11
$1,393
OTHER STATE OR TERRITORY LICENCE
Sec 53 (1)(b)
Permit unlicensed driver/rider (1st offence within last 5 years)
7
$581
Sec 53 (1)(b)
Permit unlicensed driver/rider (2nd or subsequent offence within last 5 years)
9
$890
EXPIRED LICENCE - LESS THAN 2 YEARS
Sec 53 (1)(b)
Permit unlicensed driver/rider (1st offence within last 5 years)
7
$581
Sec 53 (1)(b)
Permit unlicensed driver/rider (2nd or subsequent offence within last 5 years)
9
$890
EXPIRED LICENCE - MORE THAN 2 YEARS
Sec 53 (1)(b)
Permit unlicensed driver/rider (1st offence within last 5 years)
8
$697
Sec 53 (1)(b)
Permit unlicensed driver/rider (2nd or subsequent offence within last 5 years)
11
$1,393
NEVER HELD A LICENCE
Sec 53 (1)(b)
Permit unlicensed driver/rider
9
$890
FRAUDULENT USE OF LICENCE
Sec 50 (a)
Unlawfully possess Australian driver licence
9
$890
Sec 50 (b)
Unlawfully possess article like Australian driver licence
9
$890
UNREGISTERED AND UNINSURED VEHICLES
Page 9 of 12
 As at 1 July 2020
 The information in this document is intended as a guide only, and is subject to change at any time without notice.
 It does not replace the relevant legislation.
 * Increased fines and/or demerit points apply for these offences when committed in a school zone. See school zone offences list.
Fine level
Fine $
Demerit 
points
General driving offences
Double 
demerits
Penalty
Description
Law
Sec 68 (1)
Use unregistered vehicle on road/area
8
$697
Sec 68 (1)
Use unregistered vehicle on road/area (heavy vehicle)",12,"1,472",4
